Country Name,Country Code,Indicator Name,FINAL,dd
Austria,AUT,Poverty gap at $2 a day (PPP) (%),,
Austria,AUT,Poverty gap at $1.25 a day (PPP) (%),,
Austria,AUT,GINI index,29.15,
Austria,AUT,Poverty gap at national poverty line (%),,
Austria,AUT,Poverty headcount ratio at national poverty line (% of population),,
Austria,AUT,Poverty gap at rural poverty line (%),,
Austria,AUT,Poverty headcount ratio at rural poverty line (% of rural population),,
Austria,AUT,Poverty gap at urban poverty line (%),,
Austria,AUT,Poverty headcount ratio at urban poverty line (% of urban population),,
Azerbaijan,AZE,Income share held by second 20%,12.9,
Azerbaijan,AZE,Income share held by third 20%,16.16,
Azerbaijan,AZE,Income share held by fourth 20%,21.68,
Azerbaijan,AZE,Income share held by highest 20%,42.8,
Azerbaijan,AZE,Income share held by highest 10%,27.37,
Azerbaijan,AZE,Income share held by lowest 10%,3.43,
Azerbaijan,AZE,Income share held by lowest 20%,7.99,
Azerbaijan,AZE,Poverty headcount ratio at $2 a day (PPP) (% of population),2.81,
Azerbaijan,AZE,Poverty headcount ratio at $1.25 a day (PPP) (% of population),0.43,
Azerbaijan,AZE,Poverty gap at $2 a day (PPP) (%),0.57,
Azerbaijan,AZE,Poverty gap at $1.25 a day (PPP) (%),0.14,
Azerbaijan,AZE,GINI index,33.71,
Azerbaijan,AZE,Poverty gap at national poverty line (%),2,
Azerbaijan,AZE,Poverty headcount ratio at national poverty line (% of population),15.8,
Azerbaijan,AZE,Poverty gap at rural poverty line (%),,
Azerbaijan,AZE,Poverty headcount ratio at rural poverty line (% of rural population),18.5,
Azerbaijan,AZE,Poverty gap at urban poverty line (%),,
Azerbaijan,AZE,Poverty headcount ratio at urban poverty line (% of urban population),14.8,
"Bahamas, The",BHS,Income share held by second 20%,,
"Bahamas, The",BHS,Income share held by third 20%,,
"Bahamas, The",BHS,Income share held by fourth 20%,,
"Bahamas, The",BHS,Income share held by highest 20%,,
"Bahamas, The",BHS,Income share held by highest 10%,,
"Bahamas, The",BHS,Income share held by lowest 10%,,
"Bahamas, The",BHS,Income share held by lowest 20%,,
"Bahamas, The",BHS,Poverty headcount ratio at $2 a day (PPP) (% of population),,
"Bahamas, The",BHS,Poverty headcount ratio at $1.25 a day (PPP) (% of population),,
"Bahamas, The",BHS,Poverty gap at $2 a day (PPP) (%),,
"Bahamas, The",BHS,Poverty gap at $1.25 a day (PPP) (%),,
"Bahamas, The",BHS,GINI index,,
"Bahamas, The",BHS,Poverty gap at national poverty line (%),,
"Bahamas, The",BHS,Poverty headcount ratio at national poverty line (% of population),9.3,
"Bahamas, The",BHS,Poverty gap at rural poverty line (%),,
"Bahamas, The",BHS,Poverty headcount ratio at rural poverty line (% of rural population),,
"Bahamas, The",BHS,Poverty gap at urban poverty line (%),,
"Bahamas, The",BHS,Poverty headcount ratio at urban poverty line (% of urban population),,
Bahrain,BHR,Income share held by second 20%,,
Bahrain,BHR,Income share held by third 20%,,
Bahrain,BHR,Income share held by fourth 20%,,
Bahrain,BHR,Income share held by highest 20%,,
Bahrain,BHR,Income share held by highest 10%,,
Bahrain,BHR,Income share held by lowest 10%,,
Bahrain,BHR,Income share held by lowest 20%,,
Bahrain,BHR,Poverty headcount ratio at $2 a day (PPP) (% of population),,
Bahrain,BHR,Poverty headcount ratio at $1.25 a day (PPP) (% of population),,
Bahrain,BHR,Poverty gap at $2 a day (PPP) (%),,
Bahrain,BHR,Poverty gap at $1.25 a day (PPP) (%),,
Bahrain,BHR,GINI index,,
Bahrain,BHR,Poverty gap at national poverty line (%),,
Bahrain,BHR,Poverty headcount ratio at national poverty line (% of population),,
Bahrain,BHR,Poverty gap at rural poverty line (%),,
Bahrain,BHR,Poverty headcount ratio at rural poverty line (% of rural population),,
Bahrain,BHR,Poverty gap at urban poverty line (%),,
Bahrain,BHR,Poverty headcount ratio at urban poverty line (% of urban population),,
Bangladesh,BGD,Income share held by second 20%,12.37,
Bangladesh,BGD,Income share held by third 20%,16.7,
Bangladesh,BGD,Income share held by fourth 20%,21.27,
Bangladesh,BGD,Income share held by highest 20%,41.41,
Bangladesh,BGD,Income share held by highest 10%,27.3,
Bangladesh,BGD,Income share held by lowest 10%,3.99,
Bangladesh,BGD,Income share held by lowest 20%,8.88,
Bangladesh,BGD,Poverty headcount ratio at $2 a day (PPP) (% of population),76.54,
Bangladesh,BGD,Poverty headcount ratio at $1.25 a day (PPP) (% of population),43.25,
Bangladesh,BGD,Poverty gap at $2 a day (PPP) (%),3.35,
Bangladesh,BGD,Poverty gap at $1.25 a day (PPP) (%),11.17,
Bangladesh,BGD,GINI index,32.12,
Bangladesh,BGD,Poverty gap at national poverty line (%),6.54,
Bangladesh,BGD,Poverty headcount ratio at national poverty line (% of population),31.51,
Bangladesh,BGD,Poverty gap at rural poverty line (%),7.35,
Bangladesh,BGD,Poverty headcount ratio at rural poverty line (% of rural population),35.16,
Bangladesh,BGD,Poverty gap at urban poverty line (%),4.28,
Bangladesh,BGD,Poverty headcount ratio at urban poverty line (% of urban population),21.28,
Barbados,BRB,Income share held by second 20%,,
Barbados,BRB,Income share held by third 20%,,
Barbados,BRB,Income share held by fourth 20%,,
Barbados,BRB,Income share held by highest 20%,,
Barbados,BRB,Income share held by highest 10%,,
Barbados,BRB,Income share held by lowest 10%,,
Barbados,BRB,Income share held by lowest 20%,,
Barbados,BRB,Poverty headcount ratio at $2 a day (PPP) (% of population),,
Barbados,BRB,Poverty headcount ratio at $1.25 a day (PPP) (% of population),,
Barbados,BRB,Poverty gap at $2 a day (PPP) (%),,
Barbados,BRB,Poverty gap at $1.25 a day (PPP) (%),,
Barbados,BRB,GINI index,,
Barbados,BRB,Poverty gap at national poverty line (%),,
Barbados,BRB,Poverty headcount ratio at national poverty line (% of population),,
Barbados,BRB,Poverty gap at rural poverty line (%),,
Barbados,BRB,Poverty headcount ratio at rural poverty line (% of rural population),,
Barbados,BRB,Poverty gap at urban poverty line (%),,
Barbados,BRB,Poverty headcount ratio at urban poverty line (% of urban population),,
Belarus,BLR,Income share held by second 20%,13.77,
Belarus,BLR,Income share held by third 20%,17.82,
Belarus,BLR,Income share held by fourth 20%,22.89,
Belarus,BLR,Income share held by highest 20%,36.35,
Belarus,BLR,Income share held by highest 10%,21.9,
Belarus,BLR,Income share held by lowest 10%,3.8,
Belarus,BLR,Income share held by lowest 20%,9.17,
Belarus,BLR,Poverty headcount ratio at $2 a day (PPP) (% of population),0.19,
Belarus,BLR,Poverty headcount ratio at $1.25 a day (PPP) (% of population),0.1,
Belarus,BLR,Poverty gap at $2 a day (PPP) (%),0.12,
Belarus,BLR,Poverty gap at $1.25 a day (PPP) (%),0.1,
Belarus,BLR,GINI index,27.22,
Belarus,BLR,Poverty gap at national poverty line (%),,
Belarus,BLR,Poverty headcount ratio at national poverty line (% of population),5.4,
Belarus,BLR,Poverty gap at rural poverty line (%),,
Belarus,BLR,Poverty headcount ratio at rural poverty line (% of rural population),,
Belarus,BLR,Poverty gap at urban poverty line (%),,
Belarus,BLR,Poverty headcount ratio at urban poverty line (% of urban population),,
Belgium,BEL,Income share held by second 20%,12.98,
Belgium,BEL,Income share held by third 20%,16.31,
Belgium,BEL,Income share held by fourth 20%,2.83,
Belgium,BEL,Income share held by highest 20%,41.38,
Belgium,BEL,Income share held by highest 10%,28.6,
Belgium,BEL,Income share held by lowest 10%,3.42,
Belgium,BEL,Income share held by lowest 20%,8.5,
Belgium,BEL,Poverty headcount ratio at $2 a day (PPP) (% of population),,
Belgium,BEL,Poverty headcount ratio at $1.25 a day (PPP) (% of population),,
Belgium,BEL,Poverty gap at $2 a day (PPP) (%),,
Belgium,BEL,Poverty gap at $1.25 a day (PPP) (%),,
Belgium,BEL,GINI index,32.97,
Belgium,BEL,Poverty gap at national poverty line (%),,
Belgium,BEL,Poverty headcount ratio at national poverty line (% of population),,
Belgium,BEL,Poverty gap at rural poverty line (%),,
Belgium,BEL,Poverty headcount ratio at rural poverty line (% of rural population),,
Belgium,BEL,Poverty gap at urban poverty line (%),,
Belgium,BEL,Poverty headcount ratio at urban poverty line (% of urban population),,
Belize,BLZ,Income share held by second 20%,,
Belize,BLZ,Income share held by third 20%,,
Belize,BLZ,Income share held by fourth 20%,,
Belize,BLZ,Income share held by highest 20%,,
Belize,BLZ,Income share held by highest 10%,,
Belize,BLZ,Income share held by lowest 10%,,
Belize,BLZ,Income share held by lowest 20%,,
Belize,BLZ,Poverty headcount ratio at $2 a day (PPP) (% of population),,
Belize,BLZ,Poverty headcount ratio at $1.25 a day (PPP) (% of population),,
Belize,BLZ,Poverty gap at $2 a day (PPP) (%),,
Belize,BLZ,Poverty gap at $1.25 a day (PPP) (%),,
Belize,BLZ,GINI index,,
Belize,BLZ,Poverty gap at national poverty line (%),,
Belize,BLZ,Poverty headcount ratio at national poverty line (% of population),33.5,
Belize,BLZ,Poverty gap at rural poverty line (%),,
Belize,BLZ,Poverty headcount ratio at rural poverty line (% of rural population),44.2,
Belize,BLZ,Poverty gap at urban poverty line (%),,
Belize,BLZ,Poverty headcount ratio at urban poverty line (% of urban population),23.7,
Benin,BEN,Income share held by second 20%,1.84,
Benin,BEN,Income share held by third 20%,15.3,
Benin,BEN,Income share held by fourth 20%,21.3,
Benin,BEN,Income share held by highest 20%,46.11,
Benin,BEN,Income share held by highest 10%,31.24,
Benin,BEN,Income share held by lowest 10%,3,
Benin,BEN,Income share held by lowest 20%,6.99,
Benin,BEN,Poverty headcount ratio at $2 a day (PPP) (% of population),75.32,
Benin,BEN,Poverty headcount ratio at $1.25 a day (PPP) (% of population),47.33,
Benin,BEN,Poverty gap at $2 a day (PPP) (%),33.5,
Benin,BEN,Poverty gap at $1.25 a day (PPP) (%),15.73,
Benin,BEN,GINI index,38.62,
Benin,BEN,Poverty gap at national poverty line (%),9.5,
Benin,BEN,Poverty headcount ratio at national poverty line (% of population),33.3,
Benin,BEN,Poverty gap at rural poverty line (%),1.1,
Benin,BEN,Poverty headcount ratio at rural poverty line (% of rural population),36.1,
Benin,BEN,Poverty gap at urban poverty line (%),8.5,
Benin,BEN,Poverty headcount ratio at urban poverty line (% of urban population),28.3,
Bermuda,BMU,Income share held by second 20%,,
Bermuda,BMU,Income share held by third 20%,,
Bermuda,BMU,Income share held by fourth 20%,,
Bermuda,BMU,Income share held by highest 20%,,
Bermuda,BMU,Income share held by highest 10%,,
Bermuda,BMU,Income share held by lowest 10%,,
Bermuda,BMU,Income share held by lowest 20%,,
Bermuda,BMU,Poverty headcount ratio at $2 a day (PPP) (% of population),,
Bermuda,BMU,Poverty headcount ratio at $1.25 a day (PPP) (% of population),,
Bermuda,BMU,Poverty gap at $2 a day (PPP) (%),,
Bermuda,BMU,Poverty gap at $1.25 a day (PPP) (%),,
Bermuda,BMU,GINI index,,
Bermuda,BMU,Poverty gap at national poverty line (%),,
Bermuda,BMU,Poverty headcount ratio at national poverty line (% of population),,
Bermuda,BMU,Poverty gap at rural poverty line (%),,
Bermuda,BMU,Poverty headcount ratio at rural poverty line (% of rural population),,
Bermuda,BMU,Poverty gap at urban poverty line (%),,
Bermuda,BMU,Poverty headcount ratio at urban poverty line (% of urban population),,
Bhutan,BTN,Income share held by second 20%,1.79,
Bhutan,BTN,Income share held by third 20%,15.38,
Bhutan,BTN,Income share held by fourth 20%,22.4,
Bhutan,BTN,Income share held by highest 20%,45.15,
Bhutan,BTN,Income share held by highest 10%,29.36,
Bhutan,BTN,Income share held by lowest 10%,2.8,
Bhutan,BTN,Income share held by lowest 20%,6.64,
Bhutan,BTN,Poverty headcount ratio at $2 a day (PPP) (% of population),29.76,
Bhutan,BTN,Poverty headcount ratio at $1.25 a day (PPP) (% of population),1.22,
Bhutan,BTN,Poverty gap at $2 a day (PPP) (%),8.53,
Bhutan,BTN,Poverty gap at $1.25 a day (PPP) (%),1.81,
Bhutan,BTN,GINI index,38.6,
Bhutan,BTN,Poverty gap at national poverty line (%),6.1,
Bhutan,BTN,Poverty headcount ratio at national poverty line (% of population),23.2,
Bhutan,BTN,Poverty gap at rural poverty line (%),8.1,
Bhutan,BTN,Poverty headcount ratio at rural poverty line (% of rural population),3.9,
Bhutan,BTN,Poverty gap at urban poverty line (%),0.4,
Bhutan,BTN,Poverty headcount ratio at urban poverty line (% of urban population),1.7,
Bolivia,BOL,Income share held by second 20%,6.8,
Bolivia,BOL,Income share held by third 20%,11.91,
Bolivia,BOL,Income share held by fourth 20%,19.85,
Bolivia,BOL,Income share held by highest 20%,59.31,
Bolivia,BOL,Income share held by highest 10%,43.28,
Bolivia,BOL,Income share held by lowest 10%,0.45,
Bolivia,BOL,Income share held by lowest 20%,2.13,
Bolivia,BOL,Poverty headcount ratio at $2 a day (PPP) (% of population),24.89,
Bolivia,BOL,Poverty headcount ratio at $1.25 a day (PPP) (% of population),15.61,
Bolivia,BOL,Poverty gap at $2 a day (PPP) (%),13.5,
Bolivia,BOL,Poverty gap at $1.25 a day (PPP) (%),8.64,
Bolivia,BOL,GINI index,56.29,
Bolivia,BOL,Poverty gap at national poverty line (%),24.59632,
Bolivia,BOL,Poverty headcount ratio at national poverty line (% of population),51.3,
Bolivia,BOL,Poverty gap at rural poverty line (%),39.33736,
Bolivia,BOL,Poverty headcount ratio at rural poverty line (% of rural population),66.4,
Bolivia,BOL,Poverty gap at urban poverty line (%),17.2839,
Bolivia,BOL,Poverty headcount ratio at urban poverty line (% of urban population),43.5,
Bosnia and Herzegovina,BIH,Income share held by second 20%,11.31,
Bosnia and Herzegovina,BIH,Income share held by third 20%,16.12,
Bosnia and Herzegovina,BIH,Income share held by fourth 20%,22.74,
Bosnia and Herzegovina,BIH,Income share held by highest 20%,43.18,
Bosnia and Herzegovina,BIH,Income share held by highest 10%,27.25,
Bosnia and Herzegovina,BIH,Income share held by lowest 10%,2.71,
Bosnia and Herzegovina,BIH,Income share held by lowest 20%,6.65,
Bosnia and Herzegovina,BIH,Poverty headcount ratio at $2 a day (PPP) (% of population),0.19,
Bosnia and Herzegovina,BIH,Poverty headcount ratio at $1.25 a day (PPP) (% of population),0.4,
Bosnia and Herzegovina,BIH,Poverty gap at $2 a day (PPP) (%),0.5,
Bosnia and Herzegovina,BIH,Poverty gap at $1.25 a day (PPP) (%),0.2,
Bosnia and Herzegovina,BIH,GINI index,36.21,
Bosnia and Herzegovina,BIH,Poverty gap at national poverty line (%),,
Bosnia and Herzegovina,BIH,Poverty headcount ratio at national poverty line (% of population),14,
Bosnia and Herzegovina,BIH,Poverty gap at rural poverty line (%),,
Bosnia and Herzegovina,BIH,Poverty headcount ratio at rural poverty line (% of rural population),17.8,
Bosnia and Herzegovina,BIH,Poverty gap at urban poverty line (%),,
Bosnia and Herzegovina,BIH,Poverty headcount ratio at urban poverty line (% of urban population),8.2,
Botswana,BWA,Income share held by second 20%,,
Botswana,BWA,Income share held by third 20%,,
Botswana,BWA,Income share held by fourth 20%,,
Botswana,BWA,Income share held by highest 20%,,
Botswana,BWA,Income share held by highest 10%,,
Botswana,BWA,Income share held by lowest 10%,,
Botswana,BWA,Income share held by lowest 20%,,
Botswana,BWA,Poverty headcount ratio at $2 a day (PPP) (% of population),,
Botswana,BWA,Poverty headcount ratio at $1.25 a day (PPP) (% of population),,
Botswana,BWA,Poverty gap at $2 a day (PPP) (%),,
Botswana,BWA,Poverty gap at $1.25 a day (PPP) (%),,
Botswana,BWA,GINI index,,
Botswana,BWA,Poverty gap at national poverty line (%),11.7,
Botswana,BWA,Poverty headcount ratio at national poverty line (% of population),3.6,
Botswana,BWA,Poverty gap at rural poverty line (%),18.4,
Botswana,BWA,Poverty headcount ratio at rural poverty line (% of rural population),44.8,
Botswana,BWA,Poverty gap at urban poverty line (%),6.5,
Botswana,BWA,Poverty headcount ratio at urban poverty line (% of urban population),19.4,
Brazil,BRA,Income share held by second 20%,7.13,
Brazil,BRA,Income share held by third 20%,12.41,
Brazil,BRA,Income share held by fourth 20%,19.4,
Brazil,BRA,Income share held by highest 20%,58.57,
Brazil,BRA,Income share held by highest 10%,42.93,
Brazil,BRA,Income share held by lowest 10%,0.77,
Brazil,BRA,Income share held by lowest 20%,2.85,
Brazil,BRA,Poverty headcount ratio at $2 a day (PPP) (% of population),1.82,
Brazil,BRA,Poverty headcount ratio at $1.25 a day (PPP) (% of population),6.14,
